Source,Question,reply
forum," Determine keys, in the following exercise how you get C? 4. FD = { ABH->C, A->D, C->E, F->A, E->F, BGH->E } BGH+ = ABCDEFGH => BGH is a key I understand BGH -> E, E -> F, F -> A, A -> D, that leave you ABDEFGH, how you determining C? is it, you decomposing ABH from ABDEFGH and you know ABH -> C, you got the C? Thanks, P.S. exercise taken from https://www.cse.unsw.edu.au/~cs9311/17s2/lectures/09/exercises/keys"," Yes. From ABDEFGH, since ABH -> C then BGH+ = ABCDEFGH."
forum," Dear Dr. Rachid Hamadi, (For the slide 'Normal Forms (cont)') This is the reference that I read: https://en.wikipedia.org/wiki/Second_normal_form It says non-prime attribute instead of non-key attribute, and the definition of non-prime attribute is an attribute that is not a part of any candidate key of the relation. I also read the original paper , but it just introduces a simple case which has only one candidate key, which is a primary key as well, in the table. However, the wikipedia document above gives us the example when it violates the rule of 2NF for a non-primary candidate key. (I cannot use Wiki as a reference, but the example makes sense.) Best Regards, Curt Thanks very much for your answer."," Thanks Curt for this important post. As I told you after the lecture, there are two definitions for 2NF and 3NF. The first one is based on primary keys as first proposed by Codd in 1972.  This is useful where primary keys have already been defined.  This definition does not take other candidate keys of a relation, if any, into account.  Section 15.3 (Normal Forms Based on Primary Keys) of Elmasri and Navathe textbook (Fundamentals of Database Systems, Elmasri and Navathe, 6th edition, 2011, Addison-Wesley) discusses that.  Please do read it. The second definition is more general in the sense that it takes ALL candidate keys of a relation, if any, into account.  Section 15.4 (General Definitions of Second and Third Normal Forms) of Elmasri and Navathe textbook (Fundamentals of Database Systems, Elmasri and Navathe, 6th edition, 2011, Addison-Wesley) discusses that.  Please do read it as well. Please note that the above do not apply to the definition of 1NF since it is independant of keys and functional dependencies."
forum," Hi all, I asked a question about connection pool provided by PostgreSQL during the class. There are 3 available options. You can see the details in the following link if you are interested: https://wiki.postgresql.org/wiki/Replication,_Clustering,_and_Connection_Pooling#Connection_Pooling_and_Acceleration Cheers, Curt", Thanks Curt for the link.
forum," Hi Prof, Where can I found this lecture's solutions of all the exercise? You didn't put them or the links in the slides. Thanks Exercise: Trigger (1) (2), the solutions you have mentioned in the lecture.", Which exercises in Lecture 7 slides you are referring to? Done.
forum," Hi Prof, In last week lecture the group by example as below: Since student ID is unique , when we group by s.id, it should make the student unique, the reason that we still specify group by s.name is it because we want this domain in the SELECT statement? Otherwise it will throw an error? Thanks! Erik https://webcms3.cse.unsw.edu.au//static/uploads/pic/z5147351/6ac294d8343f44bbad5c6f863fcb61e3a52f058370ab8ccfc42f34d277378985/Screen_Shot_2017-08-23_at_4.32.08_pm.png Thank you Prof Rachid!"," Erik, we do not need to put s.name in Group By to have it displayed.  See example below from w3schools: https://webcms3.cse.unsw.edu.au//static/uploads/pic/z2286838/4b2095dab6707f49d3a4e585c9b71723fc729d8c5938f4ec03a21d44d7600d64/Capture.png"
forum," Hi Prof, What exactly is the difference between CREATE TYPE and CREATE DOMAIN, looks like they are doing the similar thing to define data type .... not sure if  CREATE TYPE is the similar spirit in C such as: typedef int number; number foo; There is not much mentioning the difference in the lecture. Thank you! Erik Thank you Prof ! I see ,so CREATE DOMAIN is a constrain instance of an existing data type whereas CREATE TYPE will define new data type."," CREATE TYPE is used to define a new data type whereas CREATE DOMAIN is used to define a new domain of an existing type. Slide 8 mentions the difference between the two.  It says a domain (created using CREATE DOMAIN) is a constrained version of an existing type and CREATE TYPE is used to create either a tuple type or an enumerated type (that is, specifying elements and ordering) from scratch."
forum," Is there any difference in performance when we use ""SELECT * FROM tbl1, tbl2 WHERE tbl1.id = tbl2.id"" and ""SELECT * FROM tbl1 JOIN tbl2 ON tbl1.id = tbl2.id"" ?"," No, there is no difference."
forum," Hi John, for the second relationship that you have mentioned that because the course to staff is a full relationship so that the convenor(staff) should not be null.... however , from the diagram does it says that all course must have at most one staff, which means that a course could have 0 convenor from staff, so the convenor does not have to be null?? thank you! Erik https://webcms3.cse.unsw.edu.au//static/uploads/pic/z5147351/65ddcce353dfce3f0eb3fcf6d26f731e0710bfcff67f48e166d48caf5a8c51ac/Screen_Shot_2017-08-08_at_9.15.57_pm.png Thank you Rachid! it is now clear :)"," The relationship means a course is thought by at most one staff and a staff teaches several courses.  However, since the participation is total from the course side this means ALL courses should appear in this relationship.  Hence, each course must have one staff meaning convenor should be ""not null"".  On the other hand, we may have a staff who does not teach any course because of the partial participation.  Hope this is clear."
forum," Hi, I was looking at this weeks lecture slides and the solution for the provided SQL solution. I executed the SQL script on a database I created, and for practise I wanted to try and insert data and play around with the database. I then noticed after receiving some errors and reviewing the provided solution, that there is a circular reference existing in the tables, for example, between the Employee and Department tables due to the foreign keys each referring to each other. Because of this you can't insert a record for a Department, because there is no manager (Employee) set with whichever value you provide. Similarly, you can't create an Employee record because there are no departments to assign. I do have some past experience in SQL, but I'm not so familiar with this kind of structure, I always have avoided it. I wasn't sure how to proceed so I looked up the best way to insert data with this kind of structure. I then found a lot of debate in which people were saying that creating circular dependencies was bad practise. I haven't yet figured out how to insert data into this table, I have read that we would need to alter the restraints so that they are deferrable. Or alternatively remove the constraints, insert data and then add the constraints back again. Can someone explain what the best thing to do in this situation is? Cheers, Jamie. Okay Thanks Rachid! I'll make sure I check it out. Sorry for jumping the gun :)"," Jamie, this is exactly what you are going to do in Lab 2 Exercise 10.  Please do go through it. Actually, that's really good that you experienced it and tried to figure it out  before we are going to do it.  In addition, the two solutions you cited are generally the ones used to solve these types of situations."
forum," Hello Rashid, Do you recommend any good ER designer tool suitable to this particular dialect of ERD? Thank you. This was what I was planning to use, but it's missing overlap/disjoint gates, and both carnality and participation are denoted differently too. Is it ok to use it for our purposes? This sounds easy enough, thank you."," https://erdplus.com/#/standalone ) is the closest ERD tool, to the notation we are using in class, I could find.  You can save as a .erdplus or export as a PNG file. I do prefer that you stick to the notation that we are using in this class.  However, if you know how to translate the cardinality and participation used in our class notation to the ones used by this tool then it should be fine.  Another way to generate something similar to our class notation is to use this convenient tool to draw the ER diagram without cardinality and participation then export it as a png file.  Finally, edit the png file with a graphical software and add the ""one"" cardinalities (that is, the missing arrows) and the ""total"" participations (making them thick)."
forum," Hello Rachid, Would it be possible to have lecture slides available in PDF format like we had them in lecture 1? It's much more convenient. Thank you. Can't see it, only the two html version. Thank you, Rashid!"," The PDF version is already there. My mistake, instead of putting the PDF version, I put the html version that puts ALL ""slides"" in one html document. Please check it now."
forum," Hello Dr Hamadi, Thank you for your lecture. I was not quite clear about slides #41 and 42. What is the difference between a total relationship and one-to-one cardinality? Do they represent the same thing? Thank you. Feng Thank you sir. This is perfectly clear."," Actually, I did not go through the last slides (from slide 40) in our first lecture since class time was over. I will start my week 2 lecture by going through the rest of slides not covered in week 1 lecture. Total (relationship) participation and one-to-one (relationship) cardinality are NOT the same. In slide #41, the cardinality between Customer and Loan entities is many-to-many meaning a Customer can have zero or more Loans and a Loan can be taken by zero or more Customers. Partial participation (indicated by a normal line) means not all Customers are participating in the relationship TakesOut. Total participation (indicated by a thick line or double line) means ALL Loans are participating in the relationship TakesOut. In other words, for Total participation, every Loan must have a Customer associated to it via TakesOut relationship. One-to-one cardinality in slide #42 (between Manager and Branch entities) means a Manager manages at most one Branch and a Branch is managed by at most one Manager. Why I am using ""at most"" since both participations are partial. If, for instance, between ""Manages"" and ""Branch"" the directed line was thick (or double) then the meaning will be ""a Branch is managed by exactly ONE Manager"". Hope this is clear. Anyway, I will be discussing it in our next lecture as I said."
forum," Thank you for videos, they are quite helpful. Can we have more discussion about relationship design in the class? It is still a bit confusing for me! Me as well, especially the total and partial relationship. I had same problem, but I found this Video Youtube - The Participation Constraint in the ER Diagram I hope that will help. Note: He use Double Line instead Thick Line for represent Total Than you for your help. Thanks a lot Thank you. I appreciate that.", Sure.  We will do that in our Week 2 lecture.
forum," Hi, Do we need to create the ER Diagram for the exercise? and how can we submit it?"," Hello Shoaib, Yes, based on the discussion we had today in the class, although there are few slides we did not yet go through, I want you to go through the remaining slides about ER Notation, and try to model the exercise on the last slide of the lecture and we will be discussing it in our next week lecture.  However, there will be no submission for it. Hope this is clear. Rachid"
forum," Hi Professor, As we know BCNF may produce redundancy, and if we choose different order the result may be different. Here is an example R = SBD fds = { SB --> D, D -->B } If I deal with D à B firstly, obviously D à B satisfies BCNF. Then R1 = SD, fds1 = {S à D} Obviously Sà D satisfies BCNF So the result could be (D,B) (S,D) Another way R = SBD fds = { SB --> D, D -->B } SB à D satisfies D (SB is the candidate key) Then R1 = SB fds1 = {} (Trivially ) So SB satisfies BCNF So the result could be (SB,S) (S,B) Which is right? As I know strategy_1 ignore the composition of SB, strategy_2 produce the redundancy. Thank you !"," The way you write and explain is not fully correct, for instance, instead of ""satisfy"" you should say ""violate"". First the keys are SD (since SD+ = SDB) and SB (since SB+=SBD) If you start with D-->B, the result will be SD and DB If you start with SB-->D, this FD does not violate BCNF since SB is a key.  Meaning you will go and check the other FD which is D-->B which will take you to the above case, that is, SD and DB."
forum, If there are any functional dependancy questions will you be providing the definitions of the rules?, No. These rules are not hard to remember.
forum," Dear Professor, Sorry to disturb you about this trivial question. I have not noted the exact time and location for the final exam since I assumed that I can always look it at myUNSW. It turned out that, the myUNSW is going to be unavailable until 12 November 2018. Could you inform the details about time and place of the exam, sir? Thank you so much, Thank you prof", Please check the exact location yourself on myUNSW since there are around 400 students who will have exam in different rooms at Randwick Racecourse. The date and time are as follows: Wednesday 14 November 2018 from 8.45 am to 11.00 am. All the best.
forum," Hi, is there a good reason why postgre does not automatically enforce that the data types of foreign key and the primary key it references match? For example, if one is text and the other is integer, postgre won't let you create the tables. But if one is varchar(1) and the other is text, it lets you do it (although if you try to insert values, you are effectively limited to varchar(1)). Thank you."," Foreign key refers to another table's primary key and obviously both need to have the same datatype. However, PostgreSQL and other SQL implementations are not strict on that since they allow compatible types such as one being text and the other being varchar(1) as you mentioned.  However, SQL standard does specify that both datatypes must be the same. For instance, if datatype is string, they must have the same length."
forum," Hi professor, In this CustomerHasAccount relation, should two foreign keys add not null constraints due to these two thick lines? https://webcms3.cse.unsw.edu.au//static/uploads/pic/z5190675/1d33bc152ebc641458c0e01e3cc5f3654fd794095ba6d505d679aeec83fd3e8e/001.png"," These two foreign keys are also primary keys. Hence, they are not null."
forum," Hi, professor, I just want to confirm it, is it true that labs 10 and 11 are not included in the content of our final exam? Thank you, professor!", Yes.  Please have a look at the Week 12 Review Lecture for more details about the topics covered in exam for this semester ( https://webcms3.cse.unsw.edu.au/COMP9311/18s2/reso... ).
forum," Hi professor, Please tell me about the way to find functional dependencies when no data is provided of relation to check the conditions of FDs. Along with it are we have to create first the relational model from ER diagram to find FDs as in sample exam of 2017 ER model is given to find it. Then how we find FDs here please give me example of it. Thank you", Either the FDs are provided or can be derived from the given scenario or ER diagram. If an ER diagram or schema is given then usually FDs are derived from the fact that key attributes determine other non-key attributes.
forum," Hi Peofessor, In the final exam, whe we design the schema, should we consider the order of inserting data to add constrainst like 'DEFERRABLE INITIALLY DEFERRED' ? And can we use pencil to answer the questions? Thank you~"," Yes if it is needed and necessary for the first part of your query. The exam cover page says ""Answers must be written in ink"" (see the released 17s2 exam cover page). However, you are allowed to use pencil for drawings such as ERD in our case."
forum," Dear Prof, Is it possible for you to upload the solution for Q4? I believe it would be very helpful as a study material. Thank you so much Andre Thank you so much", I will do and let everyone know when it is done Quizzes Solutions are published in Lecture Week 12 content. Here is the link https://webcms3.cse.unsw.edu.au/COMP9311/18s2/reso...
forum," professor , will final exam provide basic cheat sheet  for us?", No.
forum, Dear professor， Can you provide the solution for the exam of 2017 s2 posted on the webcms, Done
forum," Dear professor : I have some questions in lab 9 1. how can I know the result of supplier supply  the same part from the code above. I can only get that these suppliers supply all jobs but not supply the same part to them . 2. I think that this code may return (SidA , sname ,status,scity ,SidB , sname ,status,scity ) not a tuple of (sida,sidb) https://webcms3.cse.unsw.edu.au/https://webcms3.cse.unsw.edu.au/static/uploads/pic/z5187969/6e942b2dd2e81a2e3cf836cd8f6673313b777d449a933e99f4bb830adc5cefc9/7U5WNXZJHWXJ2XKUH1G.png"," 1. Actually if you look at the answer carefully, (SPJTriples Div AllJobNums) gives a table with supplier and part attributes (see definition of Division operation).  Then, we do projection of the result on supplier (i.e., Proj[supplier](SPJTriples Div AllJobNums)) which give a result with supplier attribute only.  Review Division operation in slides 35-38. 2. No. It returns (sidA,sidB) tuples. AllPairs is a table of (sidA,sidB) pairs.  Then we apply a Selection operation on it (last line).  Since selection is reducing the number of rows and does not modify the number of columns (which is the role of Projection operation) there will be then no change in terms of the type of tuples to be output which is (sidA,sidB).  The note after the solution explains what the Selection operation does: ""It takes pairs of supplier numbers (sidA,sidB), finds the set of parts supplied by each, and then checks that these sets are equal. The sidA<sidB term simply avoids having trivial pairs like (S1,S1) and also avoids having both (S1,S2) and (S2,S1)"". Hi, I think you are right. Will check it and get back to you. Mohammad, these Lab 9 answers are correct."
forum," Hi,professor. Will final exam be on the computer at lab or we do question on the paper?", It will be paper-based.
forum,  Thanks!, Yes and I will put them in Lecture Week 12 content.
forum," Hi professor, I have some question. Could you please help me solve thes questions? 1. What is the difference between INFORMATION_SCHEMA and other tables such as pg_tables? I have read the examples and I am quite confused about these because sometimes INFORMATION_SCHEMA is used in some programs but sometimes pg_tables is used in other programs. 2. Is it necessary for us to memory and master in these tables (that is, INFORMATION_SCHEMA and pg_tables, etc.) ? The examples in the slide in really complicated... 3. In the lecture (https://www.cse.unsw.edu.au/~cs9311/18s2/lectures/09/slide028.html), it mentioned the keys of R implied by F, but I cannot fully understand what this means. Could you please give me some examples of the keys of R implied by F？ Thanks very much!"," 1. The information_schema (see Chapter 36. The Information Schema ) is the SQL standard that consists of a set of views that contain information about the objects defined in the current database. The information schema is therefore portable unlike the system catalogs (see Chapter 51. System Catalogs ), which are specific to PostgreSQL. 2. You do not have to memorise all these names.  However, overall, you need to know what these catalogs are used for. 3. Slide 29 gives a lot of examples. For instance, assume R = ABCDEFG and F = {A --> B, C --> D, E --> FG} then ACE is a key of R implied by F (since ACE+ = ABCDEFG = R)."
forum," Hi professer, I am confused about question 5 in quiz3. Can you please explain does ' result error ' means ' wrong syntax ' or ' wrong result '? Thank you. Thank you so much.", Can be both. Either it is a syntax error or the result of the query is meaningless.
forum," Hi Professor, When can we obtain the marks for Assignment 1?", Hopefully in a week time the marks will be out.
forum," hi I have some issue while making assignment ,I don’t know exactly in which terminal can I execute my query.Can someone help me for solve this problem and in which time I can meet with the instructor"," To check if your a1.sql is correct you need to login to grieg server as explained in Lab1. Hi, You can log into your account through CSE lab computers and do the submission (with  "" give cs9311 a1 a1.sql"") in the terminal. From outside CSE, you should ssh to your account (with "" ssh zid@wagner.cse.unsw.edu.au "") and do the submission. Your lab tutor can help you in this regards."
forum," Hi professor. Is there possibility to upload past exams? I am reading a book and there is a lot of information, so I want to know what exactly I should pay attention to. Do slides cover whole material which can be on the exam?"," Yes.  Isn't it a bit early to do that? I will definitely do that sometime in Week 11 or week 12. You will be examined on the topics we will be covering in the lectures and labs.  We will not ask you questions about topics that are in the textbooks that we did (will) not cover.  Hence, while referring to the textbooks read only the parts we covered in lectures and labs.  Having said that, it is always good to read other related topics for your own benefit and knowledge building."
forum, [deleted], Have a look at the recording of today's lecture in the beginning of the class.  I discussed the solution of Quiz#1. Let me know if you have difficulties getting it then I am fine publishing it.
forum," Hello Sir, Could you make the slides and assignments downloadable? It would be easier to refer to them while offline, Thanks Best Regards Deepansh"," I already provided the PDF version of the slides called ""Slides (All-in-one)"". For the assignment, you can do it on your own by just opening it in a browser then save it as a PDF."
forum, Hi professor : will you upload the  answer of challenge exercises of lab 2, Yes. Try to solve them first. I am planning to release them by the end of this week.
forum," i submitted my quiz,from where i can check my marks? thank you!", The marks will be released after the due date.
forum, Is there a quiz tomorrow?," Yes. It will be released tomorrow and will be due at the end of the week, that is, Sunday 12/08/2018 @ 23.59."
forum, Hi.. where can I find the Lab 1 spec? has it been released? Thank you., It is released now.
forum," Hi, When will we know the final marks for this course?", July 10
forum," Hi, is the result of BCNF decomposition unique? or the answer can be different? My answer for Q5 09s1 exam is: AB, AC, DE, DF, A. I am not sure whether it is correct or not? No it's not unique. Did you mistype your answer? I don't think you can get a single column for a table. The choice of FD that you choose that violates BCNF constraint will lead you to different answers. like that https://webcms3.cse.unsw.edu.au//static/uploads/pic/z5077894/6dc2d21b71d0736166ecf0c2ef6c6fcca169674f2237bf83ad92714563d981d2/image.jpg I think I got single ""A"" because of using the function dependency ""D->F"" which is what I calculated from ""D->E"" and ""E->F"". And then because A is the super key, so got it left. Can we do that? (For the calculation of function dependency) Let's assume the working is correct up to that point. Then for R111 = ADF, the split would be AD, DF. Since D->F violates BCNF. We need an attribute to reference the DF relation. So you will never have the case of a single attribute like that. A is a key so A is also a superkey. The functional dependency, A->B does not violate BCNF condition (1).  So the first split of ACDEF, AB is incorrect."," Most of the decomposition algorithms are non-deterministic, which means that there are multiple correct solutions."
forum," Can we do this, the lectures seem to say its not possible to enforce total participation in a subclass relationship but I think this does, you have to use a transaction and will fail if the foreign keys in People are not set. Is this possible? If not why not? create table People( id int primary key check (id is betweem 10000 and 99999), name varchar(50) not null studentid int  unique staffid int  unique constraint totalpart check (staffid is not null or studentid is not null) ) create table Staff( id int references Person(id) on delete cascade, salary float check (salary >0) not null, primary key id ) create table Student( id int references Person(id) on delete cascade, degree varchar(20) not null, primary key id ) alter table People ( add constraint studentid_FK foreign key (studentid) references Student(id) deferrable initally deferred, add constraint staffid_FK foreign key (staffid) references Staff(id) deferrable initally deferred, ) ""assuming you can get the tuples inserted, given the circular dependency"" ^ is the circular dependency thing an issue for these sorts of tasks? you can use a transaction to avoid the circular dependency. thats why the foreign keys are marked as deferable... I got the idea from here https://dba.stackexchange.com/questions/35302/er-d..."," Your strategy seems to force every People tuple to also be either a Student or Staff or both, so looks like it solves the total participation problem (assuming you can get the tuples inserted, given the circular dependency). But, if the semantics are strictly disjoint subclasses, then it doesn't work ( totalpart allows overlapping subclasses). Presumably you could overcome this by tweaking the totalpart constraint. Typically requires different solutions for different DBMSs. However, solvable."
forum, Will we be asked to write PHP code or will it be more like the 2009 and 2012 papers where we have to analyse a given piece of code? Just write PHP? Or also program," Yes, you may be asked to write PHP code in this semester's exam."
forum," How to deal with overlapping, partial using ER mapping? Is there any example we can refer to? This is the example shown in slide 14, but I don't really get how it deal with overlapping and partial? It just simply splits three subclasses into three separate tables. https://webcms3.cse.unsw.edu.au/https://webcms3.cse.unsw.edu.au/static/uploads/pic/z5093599/1f876b92410e8d9f3dbbdfe8be4a0780bdeabb25fc3a4599c9fd0bf1dde02cd7/Capture.png I feel like I just posted a comment that was possible to enforce total participation without using triggers. Can you tell me why its not possible?"," See Lecture 3 Slide 14 (there is a link for a solution at the bottom of this slide). Overlapping means a student can be, for instance, a masters and a research at the same time and this is possible in the above schema.  Remember in the the tables ugrad, masters, and research there is sid attribute which is a primary key and a foreign key that refers to student. Partial means not every student participates in ugrad, masters, and research tables which is the case. Thus, a record in student table does not necessary have to appear in any of the three sub-entities (ugrad, masters, and research). What you need to understand is that this ER mapping does not cater for other cases such as, for instance, disjoint and total (i.e., each student belongs to exactly one subclass).  To do so, we need triggers."
forum," Are user defined aggregates examinable for the theory component? As far as I know, user aggregates aren't as easy to make in sqlite compared to psql"," Yes they're examinable for the theory component. All the stuff in the theory component is based on PostgreSQL. And, as far as I can see, aggregates are as easy to make in SQLite as PostgreSQL."
forum, Are we allowed to bring in ear plugs into the exam?," They'd have to be checked by the invigilators. If they look remotely like they might work as receivers, then NO, you can't use them"
forum, How to access to database of 2009? I follow the setup instruction but no step work..., There's a database dump ( beers.db ) in the downloadable http://www.cse.unsw.edu.au/~cs3311/archive/exam/09s1/tests.zip This also contains the check script What setup instructions are you talking about? I didn't think there were any.
forum," will we get paper to draw on in the exam? trying to work out the ER diagram why also fighting with the terrible drawing tool is making those questions take way too long, if we can draw it out first it will be much faster", Yes. You get one sheet of drawing paper (same one as you mark your attendance on)
forum, Is there an exam skeleton for this year?, No
forum," for db files, for example the sample exam 2012, it gives us a footy.db. Is there any way to open this db in PostgreSQL? I am more familiar with PostgreSQL operation, so may i try to solve questions on PostgreSQL then change the format of the answer to sqlite?"," No. You can't open it in PostgreSQL. It's an SQLite db file. In any case, you should practice using SQLite, since that's your only choice for the prac questions in the exam."
forum, Is the final requires us to use PostgreSQL to solve questions or to use sqlite to solve questions? Or both of them has the possibility to appear in the final?, Both.  SQLite in the prac part of the exam and PostgreSQL in the written part.
